APELLIDOS,TOTAL
JULE,431
PUQUIR,429
MATAS,429
CHAPETON,428
SACA,426
ARUCHA,425
HERRADOR,424
JIMENES,422
SURIO,422
LIBORIO,417
BUENO,417
ALCANTAR,417
TRAMPA,416
ROCA,415
SALVIN,415
CUNZA,414
GRACIANO,411
CATACHO,411
ANGELES,409
VILLA,407
AZUCAR,407
CONSTANCIA,406
SISCO,406
GALLO,406
OLLA,405
JOACHIN,403
CASHPAL,400
ANDALUZ,399
PASHACA,398
IZAGUIRRE,398
QUINTERO,394
BOLAINES,393
PILIA,393
VILANOVA,391
RUBALLO,391
DOLORES,390
ALFONSO,388
CUEVAS,387
SIGUACHI,386
CELADA,385
PURO,385
MONTALVAN,384
CANESSA,383
TEPATA,382
ARMAS,382
GUIRAO,382
VICHEZ,381
QUELE,380
TEREZON,380
SERVANO,378
TERAN,377
FUNEZ,376
DONADO,376
ASENSIO,376
SENSENTE,375
BANEGAS,374
VILLARREAL,373
FARFAN,371
RAJO,371
CARREÑO,371
HELENA,370
MORAZAN,369
BEZA,368
PASTRAN,368
SUAZO,368
MISMIT,367
MACUA,366
SANTELIZ,365
CUMI,364
SHENTE,364
ZAYAS,364
CHORRO,363
CIERRA,363
OLAIZOLA,362
REGALO,362
PUSHAGUA,361
MARCOS,361
CALVILLO,360
DINARTE,359
FAGOAGA,358
GASPAR,357
JUARES,356
ZARATE,355
BARCENES,354
OLIVORIO,354
CASOVERDE,354
PALUCHO,352
BARRIERE,351
CEDILLO,350
ALBAYERO,350
AVILEZ,349
MONTESINO,349
MANCIAS,348
PINTE,347
ROMUALDO,347
NOVA,346
CINCO,346
RUEDAS,345
DUKE,344
TEVEZ,344
ASTURIAS,341
PAVON,339
CHAFOYA,337
BARCENAS,336
TISNADO,334
GODINES,334
AZAHAR,333
BARTON,333
REBOLLO,333
SARABIA,331
AMA,330
LINAREZ,329
MONGES,328
LEMUZ,324
LOUCEL,323
MACIAS,322
CHUE,321
ARIETA,320
ZAÑAS,320
CAMACHO,317
CORBERA,317
ONOFRE,316
VALLEJOS,316
VILA,316
CAMINOS,315
OBISPO,314
GARMENDEZ,314
BEJARANO,313
ESPINOSA,313
GOMES,313
FRAILE,311
CHINQUE,311
VIRULA,311
TESPAN,311
RAFAILAN,310
FUENTEZ,309
LANDOS,306
ARABIA,306
BRACAMONTE,304
COTA,303
VILLAGRAN,303
MATAL,302
TURBIN,301
DEL VALLE,300
DAMIAN,300
CORDON,299
AZMITIA,298
TEBAN,298
LACAYO,296
ARIZA,296
CHOPIN,296
HANDAL,295
NAJO,293
CIDEOS,292
VILLARAN,290
GARRIDO,289
LAGOS,287
SIETE,286
GERVACIO,285
GUTIERRES,284
OJEDA,284
TAURA,284
QUAN,283
LEONES,281
TARIO,280
VALLEJO,280
ARGÜELLO,280
ZABLAH,280
BASILIO,279
BARQUERO,278
CARIDAD,277
PARRILLA,277
URRUELA,277
QUIROA,275
HUIZA,275
CHIGÜILA,275
VILASECA,274
VALERIANO,273
CUCHILLAS,273
CONRADO,271
REVOLORIO,270
LLANES,269
VILLAREAL,268
VIVAR,267
ARMERO,267
SARILES,267
CALZADIA,267
REYNADO,266
UTO,266
VILCHE,265
MAYORA,264
SAGET,264
PASTOR,262
CEBALLOS,262
JEORGE,262
PERES,262
ZOTELO,261
LUARCA,260
EDUARDO,260
AZCUNAGA,259
COLON,258
VICHES,258
MURILLOS,257
NUFIO,257
CUA,257
BLAS,256
VIVIDOR,256
MANUEL,256
BRENES,256
VILLELAS,256
NIEVES,256
VIOLANTES,254
HILARIO,254
BAIDES,254
ARBUES,253
BETETA,252
SANCHES,252
MARIAS,249
CHILISEO,249
GALINA,249
VIZCARRA,249
CUSHCO,249
ARBIZU,248
GRANADA,247
ESCARATE,247
MUZO,246
MARTINES,246
VILLALOVOS,245
MARGUEIS,245
CARPAÑO,242
CORRALES,241
LORENZO,239
MENESES,239
PIN,238
GRANADO,238
CRISOSTO,238
MASFERRER,238
URQUIZA,238
TUTILA,238
TULIPE,237
CORETO,237
PRESENTACION,236
REYNOZA,236
FIALLOS,236
MONARCA,236
MOTO,234
ISLEÑO,232
ISIO,231
BOQUIN,230
SEVILLA,229
TABORA,228
LAPA,228
SABALLOS,227
ESPINOLA,226
HERNANDES,225
PASASIN,225
USEDA,224
CICILIANO,224
TEODORO,224
MARCELINO,223
GARCILAZO,223
ACENCIO,223
CHIPAGUA,223
CONCE,223
MAZA,221
DE PAUL,220
LANDA,219
VILLALOBO,219
GAYTAN,217
MUÑOS,217
QUIROS,216
BADO,216
MACHON,215
VAZQUEZ,215
LUCAS,215
OCON,214
PORTAN,214
ERRODAS,214
FICTORIA,213
ARANZAMENDI,213
ZABALETA,213
